variable,value
person-associated-IR,16
person-associated-IS,6
person-associated-IT,3506
person-associated-JE,1
person-associated-JM,4
person-associated-JP,661
person-associated-KE,12
person-associated-KH,2
person-associated-KI,784
person-associated-KP,3
person-associated-KR,12
person-associated-KW,2
person-associated-LB,70
person-associated-LI,56
person-associated-LK,5
person-associated-LR,14
person-associated-LT,41
person-associated-LU,575
person-associated-LV,86
person-associated-LY,2
person-associated-MA,18
person-associated-MC,292
person-associated-MD,2
person-associated-ME,1
person-associated-MG,4
person-associated-MK,10
person-associated-ML,6
person-associated-MM,36
person-associated-MN,3
person-associated-MO,1
person-associated-MR,1
person-associated-MT,5
person-associated-MU,2
person-associated-MV,9
person-associated-MX,128
person-associated-MY,2
person-associated-MZ,3
person-associated-NC,1447
person-associated-NE,77
person-associated-NG,10
person-associated-NI,7
person-associated-NL,14234
person-associated-NO,92
person-associated-NP,1
person-associated-NR,1
person-associated-NZ,13
person-associated-PA,2
person-associated-PE,35
person-associated-PF,1
person-associated-PH,5
person-associated-PK,6
person-associated-PL,1732
person-associated-PR,4
person-associated-PT,722
person-associated-PY,7
person-associated-QA,1
person-associated-RE,12
person-associated-RO,105
person-associated-RS,10
person-associated-RU,449
person-associated-RW,25
person-associated-SA,27
person-associated-SC,23
person-associated-SE,367
person-associated-SG,104
person-associated-SI,45
person-associated-SK,63
person-associated-SL,3
person-associated-SN,48
person-associated-SR,18
person-associated-SV,100
person-associated-SY,22
person-associated-SZ,6
person-associated-TD,16
person-associated-TG,1
person-associated-TH,29
person-associated-TJ,6
person-associated-TL,27
person-associated-TN,21
person-associated-TR,123
person-associated-TT,6
person-associated-TW,557
person-associated-TZ,8
person-associated-UA,78
person-associated-UG,5
person-associated-UM,1
person-associated-US,6783
person-associated-UY,13
person-associated-VA,159
person-associated-VC,1
person-associated-VE,46
person-associated-VN,18
person-associated-YT,1
person-associated-ZA,101
person-associated-ZM,8
person-associated-ZW,10
person-nationality-AF,1
person-nationality-AG,1
person-nationality-AL,10
person-nationality-AM,2
person-nationality-AO,2
person-nationality-AR,25
person-nationality-AT,136
person-nationality-AU,19
person-nationality-BA,2
person-nationality-BE,42940
person-nationality-BF,1
person-nationality-BG,22
person-nationality-BI,5
person-nationality-BJ,2
person-nationality-BL,12
person-nationality-BR,22
person-nationality-BY,2
person-nationality-BZ,1
person-nationality-CA,91
person-nationality-CD,47
person-nationality-CG,9
person-nationality-CH,231
person-nationality-CL,11
person-nationality-CM,4
person-nationality-CN,20
person-nationality-CO,6
person-nationality-CU,4
person-nationality-CZ,23
person-nationality-DE,992
person-nationality-DK,16
person-nationality-DZ,2
person-nationality-EC,1
person-nationality-EE,1
person-nationality-EG,15
person-nationality-ES,144
person-nationality-FI,4
person-nationality-FR,2032
person-nationality-GA,2
person-nationality-GB,189
person-nationality-GE,5
person-nationality-GH,1
person-nationality-GR,18
person-nationality-GT,1
person-nationality-HK,1
person-nationality-HR,4
person-nationality-HU,24
person-nationality-ID,7
person-nationality-IE,15
person-nationality-IL,32
person-nationality-IN,23
person-nationality-IQ,3
person-nationality-IR,3
person-nationality-IS,4
person-nationality-IT,345
person-nationality-JO,2
person-nationality-JP,10
person-nationality-KE,1
person-nationality-KR,4
person-nationality-LB,6
person-nationality-LK,1
person-nationality-LT,2
person-nationality-LU,66
person-nationality-LV,3
person-nationality-MA,14
person-nationality-MC,1
person-nationality-MD,1
person-nationality-ME,4
person-nationality-MK,3
person-nationality-ML,1
person-nationality-MQ,1
person-nationality-MX,12
person-nationality-MY,1
person-nationality-NC,8
person-nationality-NE,4
person-nationality-NF,2
person-nationality-NG,4
person-nationality-NL,2016
person-nationality-NO,12
person-nationality-NZ,2
person-nationality-PE,4
person-nationality-PL,64
person-nationality-PR,1
person-nationality-PT,29
person-nationality-PY,2
person-nationality-RO,14
person-nationality-RS,13
person-nationality-RU,44
person-nationality-RW,3
person-nationality-SE,47
person-nationality-SG,3
person-nationality-SI,2
person-nationality-SN,3
person-nationality-SR,5
person-nationality-SY,2
person-nationality-TH,1
person-nationality-TN,2
person-nationality-TR,11
person-nationality-TZ,1
person-nationality-UA,3
person-nationality-US,310
person-nationality-UY,3
person-nationality-VA,4
person-nationality-VE,1
person-nationality-ZA,17
person-nationality-ZW,1
person-nationality-al,1
person-nationality-at,8
person-nationality-au,1
person-nationality-be,4548
person-nationality-belgië,42
person-nationality-br,2
person-nationality-by,1
person-nationality-ca,7
person-nationality-ch,10
person-nationality-cn,2
person-nationality-de,20
person-nationality-dm,1
person-nationality-es,5
person-nationality-flemish,1
person-nationality-fr,146
person-nationality-gb,8
person-nationality-ht,1
person-nationality-hu,1
person-nationality-il,4
person-nationality-iq,1
person-nationality-it,10
person-nationality-lb,1
person-nationality-lu,6
person-nationality-ma,3
person-nationality-mk,2
person-nationality-nl,40
person-nationality-pl,5
person-nationality-pt,5
person-nationality-rs,1
person-nationality-ru,2
person-nationality-sk,1
person-nationality-tr,1
person-nationality-us,15
person-nationality-uy,1
person-nationality-xx,5
person-nationality-za,2
personOrFiction,34808
responseRecord,49935
source-ALCS,54
source-AMS,10
source-AUVLU,1
source-BAnQ,1185
source-BL,6
source-BLSA,61
source-BNF,25313
source-BNL,74
source-BOEK,498
source-BOWKER,1
source-BOWP,1
source-BTLF,143
source-CASALINI,1
source-CDR,1851
source-CEDA,1653
source-CEDR,3
source-DAI,257
source-ETHOS,32
source-GOOG,32
source-HARV,7
source-ICLA,1
source-ICON,5
source-IPDA,466
source-ISNI,479
source-JNAM,9
source-KBR,21345
source-KOREA,66
source-LCNACO,19854
source-MUBZ,6796
source-NG,2
source-NLFIN,178
source-NLGRU,7
source-NLL2U,26
source-NLMAA,6
source-NLN,6338
source-NLQGE,16
source-NLQGJ,14
source-NLQGK,10
source-NLQHU,3
source-NLS,789
source-NLVUAMS,6
source-NLWURST,1
source-NTA,19448
source-OCLCT,3045
source-OPENL,141
source-ORCID,20
source-PROL,8
source-PROQ,10
source-QUANSIC,48
source-SCHU,197
source-SNDEXCH,33
source-SWISP,7
source-VIAF,28237
source-WISEBAND,5
source-WMG,12
source-ZETO,498
source-scholarKR,3
unformattedISNINumbers,49935
