variable,value
person-associated-AR,154
person-associated-AS,1
person-associated-AT,865
person-associated-AU,169
person-associated-AZ,1
person-associated-BA,14
person-associated-BB,2
person-associated-BD,25
person-associated-BE,56650
person-associated-BF,4
person-associated-BG,57
person-associated-BH,1
person-associated-BI,14
person-associated-BJ,2
person-associated-BM,2
person-associated-BO,2
person-associated-BR,415
person-associated-BS,1
person-associated-BY,24
person-associated-BZ,7
person-associated-CA,1951
person-associated-CD,200
person-associated-CF,1
person-associated-CG,22
person-associated-CH,3680
person-associated-CI,7
person-associated-CL,43
person-associated-CM,20
person-associated-CN,143
person-associated-CO,45
person-associated-CR,7
person-associated-CS,89
person-associated-CU,12
person-associated-CV,1
person-associated-CW,11
person-associated-CY,8
person-associated-CZ,545
person-associated-DE,11675
person-associated-DK,579
person-associated-DO,7
person-associated-DZ,19
person-associated-EC,16
person-associated-EE,14
person-associated-EG,105
person-associated-ES,2047
person-associated-ET,8
person-associated-FI,153
person-associated-FO,3
person-associated-FR,28977
person-associated-GA,4
person-associated-GB,6785
person-associated-GE,18
person-associated-GF,3
person-associated-GH,1
person-associated-GL,2
person-associated-GN,2
person-associated-GP,4
person-associated-GQ,13
person-associated-GR,147
person-associated-GT,3
person-associated-GW,22
person-associated-HK,7
person-associated-HN,4
person-associated-HR,309
person-associated-HT,4
person-associated-HU,248
person-associated-ID,58
person-associated-IE,189
person-associated-IL,157
person-associated-IN,160
person-associated-IQ,2
person-associated-IR,16
person-associated-IS,6
person-associated-IT,3500
person-associated-JE,1
person-associated-JM,4
person-associated-JP,667
person-associated-KE,11
person-associated-KH,2
person-associated-KI,737
person-associated-KP,3
person-associated-KR,12
person-associated-KW,2
person-associated-LB,70
person-associated-LI,56
person-associated-LK,5
person-associated-LR,14
person-associated-LT,43
person-associated-LU,576
person-associated-LV,86
person-associated-LY,2
person-associated-MA,19
person-associated-MC,292
person-associated-MD,2
person-associated-ME,1
person-associated-MG,4
person-associated-MK,10
person-associated-ML,7
person-associated-MM,34
person-associated-MN,3
person-associated-MO,1
person-associated-MR,1
person-associated-MT,4
person-associated-MU,2
person-associated-MV,8
person-associated-MX,125
person-associated-MY,2
person-associated-MZ,3
person-associated-NC,1376
person-associated-NE,77
person-associated-NG,10
person-associated-NI,7
person-associated-NL,14402
person-associated-NO,92
person-associated-NP,1
person-associated-NR,2
person-associated-NZ,13
person-associated-PA,2
person-associated-PE,35
person-associated-PF,1
person-associated-PH,5
person-associated-PK,6
person-associated-PL,1741
person-associated-PR,4
person-associated-PT,728
person-associated-PY,7
person-associated-QA,1
person-associated-RE,12
person-associated-RO,106
person-associated-RS,10
person-associated-RU,459
person-associated-RW,25
person-associated-SA,27
person-associated-SC,22
person-associated-SE,369
person-associated-SG,102
person-associated-SI,45
person-associated-SK,65
person-associated-SL,3
person-associated-SN,46
person-associated-SR,18
person-associated-SV,97
person-associated-SY,22
person-associated-SZ,6
person-associated-TD,16
person-associated-TG,1
person-associated-TH,29
person-associated-TJ,6
person-associated-TL,25
person-associated-TN,20
person-associated-TR,124
person-associated-TT,6
person-associated-TW,522
person-associated-TZ,8
person-associated-UA,81
person-associated-UG,5
person-associated-UM,1
person-associated-US,6857
person-associated-UY,13
person-associated-VA,159
person-associated-VC,1
person-associated-VE,46
person-associated-VN,18
person-associated-YT,1
person-associated-ZA,107
person-associated-ZM,7
person-associated-ZW,10
person-nationality-AF,1
person-nationality-AG,1
person-nationality-AL,10
person-nationality-AM,1
person-nationality-AO,2
person-nationality-AR,25
person-nationality-AT,140
person-nationality-AU,20
person-nationality-BA,2
person-nationality-BE,47074
person-nationality-BF,1
person-nationality-BG,22
person-nationality-BI,5
person-nationality-BJ,2
person-nationality-BL,12
person-nationality-BR,24
person-nationality-BY,2
person-nationality-BZ,1
person-nationality-CA,94
person-nationality-CD,48
person-nationality-CG,9
person-nationality-CH,234
person-nationality-CL,11
person-nationality-CM,4
person-nationality-CN,20
person-nationality-CO,7
person-nationality-CU,4
person-nationality-CZ,23
person-nationality-DE,1033
person-nationality-DK,16
person-nationality-DZ,2
person-nationality-EC,1
person-nationality-EE,1
person-nationality-EG,15
person-nationality-ES,149
person-nationality-ET,1
person-nationality-FI,7
person-nationality-FR,2110
person-nationality-GA,2
person-nationality-GB,198
person-nationality-GE,5
person-nationality-GH,1
person-nationality-GR,20
person-nationality-GT,1
person-nationality-HK,1
person-nationality-HR,4
person-nationality-HU,26
person-nationality-ID,7
person-nationality-IE,15
person-nationality-IL,37
person-nationality-IN,23
person-nationality-IQ,3
person-nationality-IR,4
person-nationality-IS,4
person-nationality-IT,357
person-nationality-JO,2
person-nationality-JP,11
person-nationality-KE,1
person-nationality-KR,4
person-nationality-LB,7
person-nationality-LK,1
person-nationality-LT,3
person-nationality-LU,70
person-nationality-LV,3
person-nationality-MA,18
person-nationality-MC,1
person-nationality-MD,1
person-nationality-ME,4
person-nationality-MK,3
person-nationality-ML,1
person-nationality-MQ,1
person-nationality-MX,14
person-nationality-MY,1
person-nationality-NC,3
person-nationality-NE,4
person-nationality-NF,2
person-nationality-NG,4
person-nationality-NL,2035
person-nationality-NO,12
person-nationality-NZ,2
person-nationality-PE,4
person-nationality-PL,68
person-nationality-PR,1
person-nationality-PT,30
person-nationality-PY,2
person-nationality-RO,14
person-nationality-RS,13
person-nationality-RU,47
person-nationality-RW,5
person-nationality-SE,47
person-nationality-SG,3
person-nationality-SI,2
person-nationality-SN,3
person-nationality-SR,5
person-nationality-SY,2
person-nationality-TH,1
person-nationality-TN,3
person-nationality-TR,11
person-nationality-TZ,1
person-nationality-UA,6
person-nationality-US,321
person-nationality-UY,3
person-nationality-VA,4
person-nationality-VE,2
person-nationality-ZA,20
person-nationality-ZW,1
person-nationality-al,1
person-nationality-at,8
person-nationality-au,2
person-nationality-be,4387
person-nationality-belgië,43
person-nationality-br,2
person-nationality-by,1
person-nationality-ca,6
person-nationality-ch,11
person-nationality-cn,2
person-nationality-de,20
person-nationality-dm,1
person-nationality-es,4
person-nationality-flemish,1
person-nationality-fr,150
person-nationality-gb,9
person-nationality-ht,1
person-nationality-hu,1
person-nationality-il,5
person-nationality-iq,1
person-nationality-it,10
person-nationality-lb,1
person-nationality-lu,7
person-nationality-ma,2
person-nationality-mk,2
person-nationality-netherlandish,1
person-nationality-nl,40
person-nationality-pl,5
person-nationality-pt,5
person-nationality-rs,1
person-nationality-ru,2
person-nationality-sk,1
person-nationality-tr,1
person-nationality-us,15
person-nationality-uy,1
person-nationality-xx,6
person-nationality-za,1
personOrFiction,38234
responseRecord,55763
source-ALCS,54
source-AMS,10
source-AUVLU,1
source-BAnQ,1228
source-BL,7
source-BLSA,61
source-BNF,26558
source-BNL,83
source-BOEK,498
source-BOWKER,1
source-BOWP,1
source-BTLF,144
source-CASALINI,5
source-CDR,2008
source-CEDA,1675
source-CEDR,3
source-DAI,267
source-ETHOS,37
source-FINART,29
source-FINKAVI,1
source-FINKUVA,2
source-FINZET,2
source-GOOG,50
source-HARV,7
source-ICLA,1
source-ICON,5
source-IPDA,490
source-ISNI,588
source-JNAM,10
source-KBR,24139
source-KOREA,66
source-LCNACO,20145
source-MUBZ,8237
source-MVB,2841
source-NG,2
source-NLFIN,199
source-NLGRU,8
source-NLL2U,27
source-NLMAA,6
source-NLN,6409
source-NLQGE,25
source-NLQGJ,24
source-NLQGK,14
source-NLQHU,3
source-NLS,796
source-NLVUAMS,6
source-NLWURST,3
source-NTA,19852
source-OCLCT,2483
source-OPENL,144
source-ORCID,75
source-PROL,8
source-PROQ,12
source-QUANSIC,72
source-SCHU,212
source-SNDEXCH,41
source-SWISP,8
source-TEL,1
source-UMG,550
source-VIAF,28646
source-WISEBAND,5
source-WMG,21
source-ZETO,507
source-scholarKR,3
unformattedISNINumbers,55763
