variable,value
person-associated-VN,18
person-associated-YT,1
person-associated-ZA,101
person-associated-ZM,8
person-associated-ZW,10
person-gender-female,7544
person-gender-male,27660
person-gender-unknown,191
person-nationality-AF,1
person-nationality-AG,1
person-nationality-AL,10
person-nationality-AM,2
person-nationality-AO,2
person-nationality-AR,25
person-nationality-AT,137
person-nationality-AU,19
person-nationality-BA,2
person-nationality-BE,42621
person-nationality-BF,1
person-nationality-BG,22
person-nationality-BI,5
person-nationality-BJ,2
person-nationality-BL,12
person-nationality-BR,22
person-nationality-BY,2
person-nationality-BZ,1
person-nationality-CA,90
person-nationality-CD,47
person-nationality-CG,9
person-nationality-CH,225
person-nationality-CL,11
person-nationality-CM,4
person-nationality-CN,20
person-nationality-CO,6
person-nationality-CU,4
person-nationality-CZ,23
person-nationality-DE,993
person-nationality-DK,16
person-nationality-DZ,2
person-nationality-EC,1
person-nationality-EE,1
person-nationality-EG,15
person-nationality-ES,144
person-nationality-FI,4
person-nationality-FR,2028
person-nationality-GA,2
person-nationality-GB,188
person-nationality-GE,5
person-nationality-GH,1
person-nationality-GR,18
person-nationality-GT,1
person-nationality-HK,1
person-nationality-HR,4
person-nationality-HU,23
person-nationality-ID,7
person-nationality-IE,15
person-nationality-IL,32
person-nationality-IN,23
person-nationality-IQ,3
person-nationality-IR,3
person-nationality-IS,4
person-nationality-IT,343
person-nationality-JO,2
person-nationality-JP,10
person-nationality-KE,1
person-nationality-KR,4
person-nationality-LB,6
person-nationality-LK,1
person-nationality-LT,2
person-nationality-LU,66
person-nationality-LV,3
person-nationality-MA,14
person-nationality-MC,1
person-nationality-MD,1
person-nationality-ME,4
person-nationality-MK,3
person-nationality-ML,1
person-nationality-MQ,1
person-nationality-MX,12
person-nationality-MY,1
person-nationality-NC,8
person-nationality-NE,4
person-nationality-NF,2
person-nationality-NG,4
person-nationality-NL,2022
person-nationality-NO,12
person-nationality-NZ,2
person-nationality-PE,4
person-nationality-PL,64
person-nationality-PR,1
person-nationality-PT,29
person-nationality-PY,2
person-nationality-RO,14
person-nationality-RS,13
person-nationality-RU,44
person-nationality-RW,3
person-nationality-SE,47
person-nationality-SG,3
person-nationality-SI,2
person-nationality-SN,3
person-nationality-SR,5
person-nationality-SY,2
person-nationality-TH,1
person-nationality-TN,2
person-nationality-TR,11
person-nationality-TZ,1
person-nationality-UA,3
person-nationality-US,309
person-nationality-UY,3
person-nationality-VA,4
person-nationality-VE,1
person-nationality-ZA,17
person-nationality-ZW,1
person-nationality-al,1
person-nationality-at,8
person-nationality-au,1
person-nationality-be,4576
person-nationality-belgië,42
person-nationality-br,2
person-nationality-by,1
person-nationality-ca,7
person-nationality-ch,10
person-nationality-cn,2
person-nationality-de,20
person-nationality-dm,1
person-nationality-es,5
person-nationality-flemish,1
person-nationality-fr,150
person-nationality-gb,9
person-nationality-ht,1
person-nationality-hu,1
person-nationality-il,4
person-nationality-iq,1
person-nationality-it,12
person-nationality-lb,1
person-nationality-lu,6
person-nationality-ma,3
person-nationality-mk,2
person-nationality-nl,40
person-nationality-pl,5
person-nationality-pt,5
person-nationality-rs,1
person-nationality-ru,2
person-nationality-sk,1
person-nationality-tr,1
person-nationality-us,15
person-nationality-uy,1
person-nationality-xx,5
person-nationality-za,2
personOrFiction,34549
responseRecord,49319
source-ALCS,54
source-AMS,10
source-AUVLU,1
source-BAnQ,1181
source-BL,6
source-BLSA,61
source-BNF,25153
source-BNL,69
source-BOEK,498
source-BOWKER,1
source-BOWP,1
source-BTLF,143
source-CASALINI,1
source-CDR,1837
source-CEDA,1646
source-CEDR,3
source-DAI,255
source-ETHOS,32
source-GOOG,32
source-HARV,7
source-ICLA,1
source-ICON,5
source-IPDA,463
source-ISNI,473
source-JNAM,9
source-KBR,21179
source-KOREA,65
source-LCNACO,19822
source-MUBZ,6456
source-NG,2
source-NLFIN,178
source-NLGRU,7
source-NLL2U,25
source-NLMAA,6
source-NLN,6328
source-NLQGE,14
source-NLQGJ,14
source-NLQGK,10
source-NLQHU,3
source-NLS,789
source-NLVUAMS,6
source-NLWURST,1
source-NTA,19409
source-OCLCT,3041
source-OPENL,141
source-ORCID,18
source-PROL,8
source-PROQ,10
source-QUANSIC,41
source-SCHU,195
source-SNDEXCH,33
source-SWISP,7
source-VIAF,28200
source-WISEBAND,5
source-ZETO,497
source-scholarKR,3
unformattedISNINumbers,49319
