Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
;"720 Beeldende kunsten, beeldhouwen, kunstambachten (keramiek, boekbinden, mandenvlechten …).";;;;;;;;;"LEXICON_00000074";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"730 Decoratieve kunsten, tekenen, schilderen.";;;;;;;;;"LEXICON_00000075";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"740 Grafische kunsten, fotografie, gravures.";;;;;;;;;"LEXICON_00000076";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"750 Voorstellingen (algemeen). Podiumkunsten.";;;;;;;;;"LEXICON_00000077";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"751 Toneel, dans, circuskunsten.";;;;;;;;"LEXICON_00000078";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"752 Audiovisueel (televisie, film …)";;;;;;;;"LEXICON_00000079";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"760 Muziek.";;;;;;;;;"LEXICON_00000081";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"770 Sport.";;;;;;;;;"LEXICON_00000082";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"771 - Vechtsporten";;;;;;;;"771";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"780 Spellen, videospellen.";;;;;;;;;"LEXICON_00000083";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"790 Creatieve vrijetijdsbesteding.";;;;;;;;;"LEXICON_00000084";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"800 Literatuur. Literatuurgeschiedenis en -kritiek.";;;;;;;;;;"LEXICON_00000014";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"810 Poëzie.";;;;;;;;;"LEXICON_00000085";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"820 Toneel.";;;;;;;;;"LEXICON_00000086";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"830 Roman. ";;;;;;;;;"LEXICON_00000087";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"840 Literaire essays.";;;;;;;;;"LEXICON_00000088";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"850 Stripverhalen.";;;;;;;;;"LEXICON_00000090";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"851 Manga's.";;;;;;;;"LEXICON_00000091";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"860 Jeugdboeken.";;;;;;;;;"LEXICON_00000092";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"870 Taalkunde. Filologie.";;;;;;;;;"LEXICON_00000093";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"871 Germaanse talen.";;;;;;;;"LEXICON_00000094";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"872 Romaanse talen.";;;;;;;;"LEXICON_00000095";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"873 Andere talen.";;;;;;;;"LEXICON_00000096";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"900 Geschiedenis en geografie (algemeen).";;;;;;;;;;"LEXICON_00000015";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"910 Geografie";;;;;;;;;"LEXICON_00000097";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"911 Geografie van België. Regionale monografieën.";;;;;;;;"LEXICON_00000107";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"912 Toerisme (gidsen) en reizen.";;;;;;;;"LEXICON_00000108";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"920 Biografieën, briefwisseling, genealogie en heraldiek.";;;;;;;;;"LEXICON_00000098";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"930 Archeologie";;;;;;;;;"LEXICON_00000099";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"940 Numismatiek, sigillografie.";;;;;;;;;"LEXICON_00000100";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"950 Geschiedenis.";;;;;;;;;"LEXICON_00000101";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"951 Prehistorie en oude geschiedenis.";;;;;;;;"LEXICON_00000103";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"952 Middeleeuwse geschiedenis.";;;;;;;;"LEXICON_00000104";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"953 Moderne geschiedenis (15de-19de eeuw)";;;;;;;;"LEXICON_00000105";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"954 Hedendaagse geschiedenis (20ste-21ste eeuw)";;;;;;;;"LEXICON_00000106";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"960 Geschiedenis van België sinds 1830.";;;;;;;;;"LEXICON_00000102";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"970 Lokale geschiedenis";;;;;;;;;"LEXICON_00000109";"NT";"";"Standard";"";"";"";"";"-1";"";"";
