Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
;"720 Arts plastiques, sculpture, artisanat d'art (céramique, reliure, vannerie, …)";;;;;;;;;"LEXICON_00000074";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"730 Arts décoratifs, dessin, peinture.";;;;;;;;;"LEXICON_00000075";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"740 Arts graphiques, photographies, gravures.";;;;;;;;;"LEXICON_00000076";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"750 Spectacle (généralités). Arts de la scène.";;;;;;;;;"LEXICON_00000077";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"751 Théâtre, danse, arts du cirque.";;;;;;;;"LEXICON_00000078";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"752 Audiovisuel (TV, cinéma, …)";;;;;;;;"LEXICON_00000079";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"760 Musique.";;;;;;;;;"LEXICON_00000081";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"770 Sports.";;;;;;;;;"LEXICON_00000082";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"771 - Arts martiaux";;;;;;;;"771";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"780 Jeux, jeux vidéo.";;;;;;;;;"LEXICON_00000083";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"790 Loisirs créatifs.";;;;;;;;;"LEXICON_00000084";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"800 Littérature. Histoire et critique littéraires.";;;;;;;;;;"LEXICON_00000014";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"810 Poésie.";;;;;;;;;"LEXICON_00000085";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"820 Théâtre. ";;;;;;;;;"LEXICON_00000086";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"830 Roman. ";;;;;;;;;"LEXICON_00000087";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"840 Essais littéraires.";;;;;;;;;"LEXICON_00000088";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"850 Bandes dessinées.";;;;;;;;;"LEXICON_00000090";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"851 Mangas.";;;;;;;;"LEXICON_00000091";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"860 Livre jeunesse.";;;;;;;;;"LEXICON_00000092";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"870 Linguistique. Philologie.";;;;;;;;;"LEXICON_00000093";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"871 Langues germaniques";;;;;;;;"LEXICON_00000094";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"872 Langues romanes";;;;;;;;"LEXICON_00000095";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"873 Autres langues";;;;;;;;"LEXICON_00000096";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"900  Histoire et géographie (généralités).";;;;;;;;;;"LEXICON_00000015";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"910 Géographie";;;;;;;;;"LEXICON_00000097";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"911 Géographie de la Belgique. Monographies.";;;;;;;;"LEXICON_00000107";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"912 Tourisme (guides) et voyages.";;;;;;;;"LEXICON_00000108";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"920 Biographies, correspondances, généalogie et héraldique.";;;;;;;;;"LEXICON_00000098";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"930 Archéologie";;;;;;;;;"LEXICON_00000099";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"940 Numismatique, sigillographie.";;;;;;;;;"LEXICON_00000100";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"950 Histoire.";;;;;;;;;"LEXICON_00000101";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"951 Préhistoire et histoire ancienne.";;;;;;;;"LEXICON_00000103";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"952 Histoire médiévale";;;;;;;;"LEXICON_00000104";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"953 Histoire moderne (15e-19e s.)";;;;;;;;"LEXICON_00000105";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"954 Histoire contemporaine (20e-21e s.)";;;;;;;;"LEXICON_00000106";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"960 Histoire de Belgique depuis 1830.";;;;;;;;;"LEXICON_00000102";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"970 Histoire locale";;;;;;;;;"LEXICON_00000109";"NT";"";"Standard";"";"";"";"";"-1";"";"";
